wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689862495000,1689862496000,6,4726446387530214059,1689862496743
1689862495000,1689862496000,4,4751174360939976021,1689862496760
1689862495000,1689862496000,3,4755576212439782741,1689862496960
1689862495000,1689862496000,10,4726513934726944085,1689862497072
1689862496000,1689862497000,11,4726583269178124971,1689862497667
1689862496000,1689862497000,9,4726023187054897835,1689862497677
1689862496000,1689862497000,8,4726010503781591723,1689862497733
1689862496000,1689862497000,5,4726512151062817451,1689862497746
1689862496000,1689862497000,4,4751174363098644480,1689862497793
1689862496000,1689862497000,6,4726446467557534379,1689862497808
1689862496000,1689862497000,3,4755576213677801472,1689862498000
1689862496000,1689862497000,10,4726514015749712555,1689862498090
1689862497000,1689862498000,11,4726583327965489835,1689862498700
1689862497000,1689862498000,8,4726010588148618581,1689862498728
1689862497000,1689862498000,9,4726023265191985152,1689862498742
1689862497000,1689862498000,5,4726512229345307307,1689862498766
1689862497000,1689862498000,6,4726446545359077376,1689862498797
1689862497000,1689862498000,4,4751174365619770709,1689862498825
1689862497000,1689862498000,3,4755576215387854165,1689862498980
1689862497000,1689862498000,10,4726514089345766741,1689862499085
1689862498000,1689862499000,10,4726514175714874709,1689862499620
1689862498000,1689862499000,11,4726583428393904811,1689862499708
1689862498000,1689862499000,8,4726010693118066688,1689862499742
1689862498000,1689862499000,9,4726023357242976939,1689862499748
1689862498000,1689862499000,6,4726446661188976640,1689862499809
1689862498000,1689862499000,5,4726512342188862123,1689862499818
1689862498000,1689862499000,4,4751174369600165205,1689862499862
1689862498000,1689862499000,3,4755576216470858411,1689862500032
1689862499000,1689862500000,10,4726514220923879424,1689862500637
1689862499000,1689862500000,9,4726023425638094165,1689862500759
1689862499000,1689862500000,8,4726010764253462528,1689862500767
1689862499000,1689862500000,11,4726583508141604864,1689862500771
1689862499000,1689862500000,5,4726512405651477845,1689862500847
1689862499000,1689862500000,6,4726446714596447573,1689862500880
1689862499000,1689862500000,4,4751174372143311531,1689862500909
1689862499000,1689862500000,3,4755576217740159659,1689862501039
1689862500000,1689862501000,10,4726514298747792043,1689862501628
1689862500000,1689862501000,11,4726583585383907328,1689862501764
1689862500000,1689862501000,9,4726023540573208576,1689862501788
1689862500000,1689862501000,8,4726010878785923755,1689862501795
1689862500000,1689862501000,5,4726512511213720917,1689862501852
1689862500000,1689862501000,6,4726446823603612331,1689862501869
1689862500000,1689862501000,4,4751174374908056917,1689862501924
1689862500000,1689862501000,3,4755576219586876757,1689862502047
1689862501000,1689862502000,10,4726514412117032960,1689862502656
1689862501000,1689862502000,11,4726583691382358016,1689862502780
1689862501000,1689862502000,9,4726023621036736512,1689862502795
1689862501000,1689862502000,8,4726010958198079488,1689862502813
1689862501000,1689862502000,6,4726446897199666517,1689862502898
1689862501000,1689862502000,5,4726512589171851264,1689862502905
1689862501000,1689862502000,4,4751174377474970965,1689862502954
1689862501000,1689862502000,3,4755576220472224427,1689862503068
1689862502000,1689862503000,10,4726514489862651904,1689862503659
1689862502000,1689862503000,9,4726023703155616427,1689862503788
1689862502000,1689862503000,11,4726583757081935872,1689862503799
1689862502000,1689862503000,8,4726011037386539008,1689862503832
1689862502000,1689862503000,6,4726446972965573973,1689862503929
1689862502000,1689862503000,5,4726512688179795285,1689862503942
1689862502000,1689862503000,4,4751174381087664811,1689862504039
1689862502000,1689862503000,3,4755576222247114069,1689862504087
1689862503000,1689862504000,10,4726514593780727808,1689862504717
1689862503000,1689862504000,8,4726011142333617493,1689862504814
1689862503000,1689862504000,11,4726583855340497579,1689862504835
1689862503000,1689862504000,9,4726023808650750635,1689862504849
