WrappedNetworkMetrics$start:INTEGER(64 bits),WrappedNetworkMetrics$end:INTEGER(64 bits),WrappedNetworkMetrics$node_id:INTEGER(64 bits),WrappedNetworkMetrics$tBytes:INTEGER(64 bits),timestamp
1698831892000,1698831893000,4,2125208162,1698831893183
1698831892000,1698831893000,9,295543829,1698831893194
1698831892000,1698831893000,11,313624605,1698831893196
1698831892000,1698831893000,7,26893795911,1698831893219
1698831893000,1698831894000,5,731772708,1698831894137
1698831893000,1698831894000,6,5841059817,1698831894139
1698831893000,1698831894000,8,16367766459,1698831894161
1698831893000,1698831894000,10,322780765,1698831894163
1698831893000,1698831894000,4,2125209075,1698831894169
1698831893000,1698831894000,9,295544942,1698831894183
1698831893000,1698831894000,11,313625810,1698831894187
1698831893000,1698831894000,7,26893796995,1698831894210
1698831894000,1698831895000,6,5841060886,1698831895121
1698831894000,1698831895000,5,731773796,1698831895137
1698831894000,1698831895000,8,16367767455,1698831895151
1698831894000,1698831895000,4,2125210297,1698831895158
1698831894000,1698831895000,10,322781695,1698831895159
1698831894000,1698831895000,9,295545920,1698831895180
1698831894000,1698831895000,11,313626720,1698831895190
1698831894000,1698831895000,7,26893798125,1698831895206
1698831895000,1698831896000,5,731774939,1698831896140
1698831895000,1698831896000,8,16367768671,1698831896143
1698831895000,1698831896000,4,2125211330,1698831896148
1698831895000,1698831896000,10,322783047,1698831896158
1698831895000,1698831896000,9,295547156,1698831896175
1698831895000,1698831896000,11,313628103,1698831896188
1698831895000,1698831896000,7,26893799237,1698831896199
1698831895000,1698831896000,6,5841061992,1698831896215
1698831896000,1698831897000,8,16367769556,1698831897126
1698831896000,1698831897000,5,731775981,1698831897137
1698831896000,1698831897000,4,2125212325,1698831897145
1698831896000,1698831897000,10,322783868,1698831897147
1698831896000,1698831897000,9,295547969,1698831897170
1698831896000,1698831897000,11,313628928,1698831897182
1698831896000,1698831897000,7,26893800162,1698831897193
1698831896000,1698831897000,6,5841062969,1698831897212
1698831897000,1698831898000,8,16367770891,1698831898117
1698831897000,1698831898000,5,731777141,1698831898127
1698831897000,1698831898000,4,2125213474,1698831898141
1698831897000,1698831898000,10,322785242,1698831898146
1698831897000,1698831898000,9,295549292,1698831898167
1698831897000,1698831898000,11,313630288,1698831898183
1698831897000,1698831898000,7,26893801435,1698831898187
1698831897000,1698831898000,6,5841064169,1698831898199
1698831898000,1698831899000,5,731778005,1698831899122
1698831898000,1698831899000,10,322786135,1698831899133
1698831898000,1698831899000,4,2125214406,1698831899135
1698831898000,1698831899000,9,295550213,1698831899164
1698831898000,1698831899000,11,313631219,1698831899175
1698831898000,1698831899000,7,26893802268,1698831899183
1698831898000,1698831899000,6,5841065002,1698831899190
1698831898000,1698831899000,8,16367771780,1698831899217
1698831899000,1698831900000,4,2125215665,1698831900128
1698831899000,1698831900000,10,322787325,1698831900132
1698831899000,1698831900000,9,295551408,1698831900160
1698831899000,1698831900000,11,313632345,1698831900164
1698831899000,1698831900000,7,26893803614,1698831900177
1698831899000,1698831900000,6,5841066395,1698831900187
1698831899000,1698831900000,8,16367773089,1698831900201
1698831899000,1698831900000,5,731779378,1698831900227
1698831900000,1698831901000,10,322788409,1698831901126
1698831900000,1698831901000,9,295552422,1698831901153
1698831900000,1698831901000,11,313633446,1698831901158
1698831900000,1698831901000,7,26893804583,1698831901176
1698831900000,1698831901000,6,5841067291,1698831901182
1698831900000,1698831901000,8,16367773970,1698831901187
1698831900000,1698831901000,4,2125216546,1698831901219
1698831900000,1698831901000,5,731780186,1698831901222
1698831901000,1698831902000,10,322789518,1698831902119
1698831901000,1698831902000,9,295553603,1698831902147
1698831901000,1698831902000,11,313634464,1698831902156
1698831901000,1698831902000,6,5841068540,1698831902176
1698831901000,1698831902000,7,26893805823,1698831902178
1698831901000,1698831902000,8,16367775181,1698831902180
1698831901000,1698831902000,4,2125217943,1698831902215
1698831901000,1698831902000,5,731781623,1698831902216
1698831902000,1698831903000,9,295554630,1698831903142
1698831902000,1698831903000,11,313635606,1698831903150
1698831902000,1698831903000,8,16367776197,1698831903159
1698831902000,1698831903000,6,5841069533,1698831903163
1698831902000,1698831903000,7,26893806864,1698831903172
1698831902000,1698831903000,4,2125218763,1698831903204
1698831902000,1698831903000,10,322790644,1698831903212
1698831902000,1698831903000,5,731782569,1698831903216
1698831903000,1698831904000,11,313636492,1698831904142
1698831903000,1698831904000,9,295555563,1698831904146
1698831903000,1698831904000,8,16367777217,1698831904158
1698831903000,1698831904000,6,5841070623,1698831904159
1698831903000,1698831904000,7,26893807938,1698831904170
1698831903000,1698831904000,4,2125219947,1698831904192
1698831903000,1698831904000,5,731783739,1698831904199
1698831903000,1698831904000,10,322791607,1698831904206
1698831904000,1698831905000,11,313637832,1698831905145
1698831904000,1698831905000,9,295556826,1698831905147
1698831904000,1698831905000,8,16367778399,1698831905148
1698831904000,1698831905000,6,5841071827,1698831905154
1698831904000,1698831905000,7,26893809074,1698831905164
1698831904000,1698831905000,4,2125220948,1698831905184
1698831904000,1698831905000,5,731784730,1698831905199
1698831904000,1698831905000,10,322792919,1698831905201
1698831905000,1698831906000,9,295557664,1698831906135
1698831905000,1698831906000,11,313638614,1698831906138
1698831905000,1698831906000,8,16367779319,1698831906140
1698831905000,1698831906000,6,5841072909,1698831906152
1698831905000,1698831906000,7,26893810029,1698831906161
1698831905000,1698831906000,4,2125222019,1698831906176
1698831905000,1698831906000,5,731785762,1698831906186
1698831905000,1698831906000,10,322793717,1698831906201
1698831906000,1698831907000,8,16367780571,1698831907118
1698831906000,1698831907000,9,295558982,1698831907130
1698831906000,1698831907000,11,313639933,1698831907134
1698831906000,1698831907000,6,5841074071,1698831907148
1698831906000,1698831907000,7,26893811271,1698831907156
1698831906000,1698831907000,4,2125223141,1698831907170
1698831906000,1698831907000,5,731786900,1698831907181
1698831906000,1698831907000,10,322795086,1698831907191
1698831907000,1698831908000,9,295559974,1698831908133
1698831907000,1698831908000,11,313640903,1698831908137
1698831907000,1698831908000,6,5841074935,1698831908139
1698831907000,1698831908000,7,26893812165,1698831908151
1698831907000,1698831908000,4,2125224107,1698831908169
1698831907000,1698831908000,10,322796030,1698831908181
1698831907000,1698831908000,5,731787774,1698831908184
1698831907000,1698831908000,8,16367781500,1698831908200
1698831908000,1698831909000,9,295561163,1698831909129
1698831908000,1698831909000,11,313642038,1698831909135
1698831908000,1698831909000,6,5841076286,1698831909137
1698831908000,1698831909000,7,26893813584,1698831909152
1698831908000,1698831909000,4,2125225359,1698831909163
1698831908000,1698831909000,5,731789128,1698831909176
1698831908000,1698831909000,10,322797278,1698831909182
1698831908000,1698831909000,8,16367782811,1698831909195
1698831909000,1698831910000,9,295562087,1698831910127
1698831909000,1698831910000,6,5841077112,1698831910130
1698831909000,1698831910000,11,313643073,1698831910132
1698831909000,1698831910000,7,26893814445,1698831910140
1698831909000,1698831910000,4,2125226247,1698831910160
1698831909000,1698831910000,5,731790022,1698831910174
1698831909000,1698831910000,10,322798221,1698831910183
1698831909000,1698831910000,8,16367783624,1698831910185
1698831910000,1698831911000,6,5841078282,1698831911121
1698831910000,1698831911000,9,295563270,1698831911122
1698831910000,1698831911000,11,313644060,1698831911132
1698831910000,1698831911000,7,26893815609,1698831911139
1698831910000,1698831911000,4,2125227538,1698831911152
1698831910000,1698831911000,5,731791237,1698831911175
1698831910000,1698831911000,8,16367784752,1698831911176
1698831910000,1698831911000,10,322799406,1698831911178
1698831911000,1698831912000,7,26893816605,1698831912129
1698831911000,1698831912000,11,313645216,1698831912134
1698831911000,1698831912000,4,2125228406,1698831912153
1698831911000,1698831912000,10,322800525,1698831912161
1698831911000,1698831912000,8,16367785795,1698831912165
1698831911000,1698831912000,5,731792189,1698831912172
