wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689857948000,1689857949000,10,4726323725221582165,1689857949713
1689857948000,1689857949000,11,4726400386137587712,1689857949713
1689857949000,1689857950000,3,4755573129112715264,1689857950728
1689857949000,1689857950000,4,4751168412528061099,1689857950728
1689857949000,1689857950000,5,4726323166495550123,1689857950728
1689857949000,1689857950000,6,4726258666723519147,1689857950728
1689857949000,1689857950000,8,4725824694716290389,1689857950746
1689857949000,1689857950000,9,4725837321495117824,1689857950746
1689857949000,1689857950000,10,4726323831824012629,1689857950746
1689857949000,1689857950000,11,4726400489239172437,1689857950746
1689857950000,1689857951000,3,4755573130719483221,1689857951756
1689857950000,1689857951000,4,4751168415839813632,1689857951756
1689857950000,1689857951000,5,4726323271274856448,1689857951756
1689857950000,1689857951000,6,4726258774757605376,1689857951756
1689857950000,1689857951000,8,4725824796542806699,1689857951769
1689857950000,1689857951000,9,4725837426654707712,1689857951769
1689857950000,1689857951000,10,4726323924221733547,1689857951769
1689857950000,1689857951000,11,4726400580641445205,1689857951769
1689857951000,1689857952000,3,4755573131733980501,1689857952779
1689857951000,1689857952000,4,4751168418553528320,1689857952779
1689857951000,1689857952000,5,4726323331963639125,1689857952779
1689857951000,1689857952000,6,4726258833030468949,1689857952779
1689857951000,1689857952000,8,4725824856292065280,1689857952797
1689857951000,1689857952000,9,4725837487880361301,1689857952797
1689857951000,1689857952000,10,4726324000971904341,1689857952797
1689857951000,1689857952000,11,4726400654338162688,1689857952797
1689857952000,1689857953000,3,4755573133598872917,1689857953807
1689857952000,1689857953000,4,4751168421632846507,1689857953807
1689857952000,1689857953000,5,4726323451148981589,1689857953807
1689857952000,1689857953000,6,4726258953692206421,1689857953807
1689857952000,1689857953000,8,4725824982691610624,1689857953826
1689857952000,1689857953000,9,4725837607065703765,1689857953826
1689857952000,1689857953000,10,4726324106668365141,1689857953826
1689857952000,1689857953000,11,4726400757831215787,1689857953826
1689857953000,1689857954000,3,4755573134955730261,1689857954835
1689857953000,1689857954000,4,4751168424392698539,1689857954835
1689857953000,1689857954000,5,4726323524342382592,1689857954835
1689857953000,1689857954000,6,4726259024290731349,1689857954835
1689857953000,1689857954000,8,4725825052742079829,1689857954855
1689857953000,1689857954000,9,4725837679878821205,1689857954855
1689857953000,1689857954000,10,4726324195878415019,1689857954855
1689857953000,1689857954000,11,4726400844312171861,1689857954855
1689857954000,1689857955000,3,4755573136335656277,1689857955861
1689857954000,1689857955000,4,4751168427129481899,1689857955861
1689857954000,1689857955000,5,4726323632253435904,1689857955861
1689857954000,1689857955000,6,4726259132011642880,1689857955861
1689857954000,1689857955000,8,4725825158058257067,1689857955877
1689857954000,1689857955000,9,4725837791122948096,1689857955877
1689857954000,1689857955000,10,4726324294573184341,1689857955877
1689857954000,1689857955000,11,4726400948151954091,1689857955877
1689857955000,1689857956000,3,4755573137791778816,1689857956887
1689857955000,1689857956000,4,4751168430432496299,1689857956887
1689857955000,1689857956000,5,4726323724170209963,1689857956887
1689857955000,1689857956000,6,4726259233245364224,1689857956887
1689857955000,1689857956000,8,4725825249236833621,1689857956906
1689857955000,1689857956000,9,4725837884516117163,1689857956906
1689857955000,1689857956000,10,4726324382709492395,1689857956906
1689857955000,1689857956000,11,4726401032015664469,1689857956906
1689857956000,1689857957000,8,4725825321300568747,1689857957903
1689857956000,1689857957000,9,4725837957127908011,1689857957903
1689857956000,1689857957000,10,4726324469369405440,1689857957903
1689857956000,1689857957000,11,4726401117758423040,1689857957903
1689857956000,1689857957000,3,4755573138859928235,1689857957914
1689857956000,1689857957000,4,4751168432305253035,1689857957914
1689857956000,1689857957000,5,4726323795305605803,1689857957914
1689857956000,1689857957000,6,4726259303642562560,1689857957914
1689857957000,1689857958000,8,4725825444557182293,1689857958936
1689857957000,1689857958000,9,4725838077789645483,1689857958936
1689857957000,1689857958000,10,4726324577470600533,1689857958936
1689857957000,1689857958000,11,4726401222537729365,1689857958936
1689857957000,1689857958000,3,4755573140871446528,1689857958942
1689857957000,1689857958000,4,4751168436144439296,1689857958942
1689857957000,1689857958000,5,4726323915967343275,1689857958942
1689857957000,1689857958000,6,4726259422827905024,1689857958942
1689857958000,1689857959000,8,4725825515547175595,1689857959961
1689857958000,1689857959000,9,4725838151922570581,1689857959961
1689857958000,1689857959000,10,4726324669331450539,1689857959961
1689857958000,1689857959000,11,4726401312362943829,1689857959961
1689857958000,1689857959000,3,4755573141993772373,1689857959968
1689857958000,1689857959000,4,4751168438893106517,1689857959968
1689857958000,1689857959000,5,4726323986756009984,1689857959968
1689857958000,1689857959000,6,4726259492688232448,1689857959968
1689857959000,1689857960000,3,4755573143555801088,1689857960992
1689857959000,1689857960000,4,4751168441583752533,1689857960992
1689857959000,1689857960000,5,4726324095405260800,1689857960992
1689857959000,1689857960000,6,4726259597646495744,1689857960992
1689857959000,1689857960000,8,4725825619386957824,1689857961012
1689857959000,1689857960000,9,4725838258357228885,1689857961012
1689857959000,1689857960000,10,4726324765095799467,1689857961012
1689857959000,1689857960000,11,4726401423416928939,1689857961012
1689857960000,1689857961000,3,4755573145011923627,1689857962020
1689857960000,1689857961000,4,4751168444542134955,1689857962020
1689857960000,1689857961000,5,4726324186773979136,1689857962020
1689857960000,1689857961000,6,4726259683948494848,1689857962020
