WrappedNetworkMetrics$start:INTEGER(64 bits),WrappedNetworkMetrics$end:INTEGER(64 bits),WrappedNetworkMetrics$node_id:INTEGER(64 bits),WrappedNetworkMetrics$tBytes:INTEGER(64 bits),timestamp
1698832698000,1698832699000,10,323174126,1698832699130
1698832698000,1698832699000,11,314015584,1698832699159
1698832698000,1698832699000,6,5841466500,1698832699178
1698832698000,1698832699000,8,16368165536,1698832699195
1698832698000,1698832699000,4,2125602159,1698832699214
1698832699000,1698832700000,5,732177667,1698832700128
1698832699000,1698832700000,11,314016412,1698832700141
1698832699000,1698832700000,6,5841467441,1698832700175
1698832699000,1698832700000,4,2125602994,1698832700182
1698832699000,1698832700000,8,16368166430,1698832700190
1698832699000,1698832700000,9,295940758,1698832700203
1698832699000,1698832700000,10,323174941,1698832700214
1698832699000,1698832700000,7,26894202249,1698832700224
1698832700000,1698832701000,11,314017678,1698832701125
1698832700000,1698832701000,5,732178897,1698832701127
1698832700000,1698832701000,4,2125604035,1698832701163
1698832700000,1698832701000,6,5841468631,1698832701168
1698832700000,1698832701000,9,295941992,1698832701172
1698832700000,1698832701000,8,16368167702,1698832701190
1698832700000,1698832701000,10,323176207,1698832701205
1698832700000,1698832701000,7,26894203560,1698832701217
1698832701000,1698832702000,9,295942669,1698832702140
1698832701000,1698832702000,4,2125604722,1698832702142
1698832701000,1698832702000,6,5841469507,1698832702160
1698832701000,1698832702000,8,16368168572,1698832702170
1698832701000,1698832702000,10,323176962,1698832702192
1698832701000,1698832702000,7,26894204462,1698832702211
1698832701000,1698832702000,11,314018611,1698832702216
1698832701000,1698832702000,5,732179809,1698832702227
1698832702000,1698832703000,6,5841470901,1698832703161
1698832702000,1698832703000,8,16368169862,1698832703174
1698832702000,1698832703000,10,323178070,1698832703186
1698832702000,1698832703000,11,314019777,1698832703200
1698832702000,1698832703000,7,26894205791,1698832703205
1698832702000,1698832703000,4,2125605915,1698832703214
1698832702000,1698832703000,9,295943712,1698832703215
1698832702000,1698832703000,5,732181113,1698832703221
1698832703000,1698832704000,6,5841471769,1698832704160
1698832703000,1698832704000,8,16368170819,1698832704173
1698832703000,1698832704000,11,314020900,1698832704177
1698832703000,1698832704000,10,323179102,1698832704183
1698832703000,1698832704000,9,295944585,1698832704184
1698832703000,1698832704000,4,2125606655,1698832704190
1698832703000,1698832704000,7,26894206744,1698832704204
1698832703000,1698832704000,5,732182019,1698832704220
1698832704000,1698832705000,11,314021651,1698832705149
1698832704000,1698832705000,9,295945455,1698832705157
1698832704000,1698832705000,6,5841472907,1698832705162
1698832704000,1698832705000,10,323179976,1698832705167
1698832704000,1698832705000,4,2125607743,1698832705170
1698832704000,1698832705000,8,16368171929,1698832705172
1698832704000,1698832705000,7,26894207872,1698832705205
1698832704000,1698832705000,5,732183154,1698832705218
1698832705000,1698832706000,11,314022840,1698832706129
1698832705000,1698832706000,9,295946585,1698832706132
1698832705000,1698832706000,10,323181110,1698832706139
1698832705000,1698832706000,6,5841473987,1698832706158
1698832705000,1698832706000,4,2125608604,1698832706159
1698832705000,1698832706000,8,16368173067,1698832706167
1698832705000,1698832706000,7,26894208960,1698832706196
1698832705000,1698832706000,5,732184139,1698832706215
